group_id,num_nodes,num_edges,num_closed_edges,in_degrees,max_in_degree,mean_in_degree,nodes_indegree_gt_one,closed_edge_density,instance,algorithm,num_jumps,num_explored_nodes,primal_bound,dual_bound,cuts_added_by_solver,solve_time,sum_time,status
n10,13,23,55,"0, 1, 1, 1, 1, 3, 2, 2, 2, 4, 1, 2, 3",4,1.7692307692307692,7,0.7051282051282052,n10o0.5-3.rcp,MULTIFLOW,5.0,1,8.0,8.0,0.0,0.103261,0.0,2
n10,13,23,55,"0, 1, 1, 1, 1, 2, 1, 1, 2, 3, 4, 3, 3",4,1.7692307692307692,6,0.7051282051282052,n10o0.5-4.rcp,FEASIBILITY,5.0,1,6.0,6.0,0.0,0.608473,0.912847,2
n10,13,23,55,"0, 1, 1, 1, 1, 2, 1, 1, 2, 3, 4, 3, 3",4,1.7692307692307692,6,0.7051282051282052,n10o0.5-4.rcp,MULTIFLOW,5.0,1,8.0,8.0,0.0,0.07387,0.0,2
n10,13,21,55,"0, 1, 1, 1, 1, 1, 3, 1, 2, 3, 2, 1, 4",4,1.6153846153846154,5,0.7051282051282052,n10o0.5-5.rcp,FEASIBILITY,5.0,0,6.0,6.0,0.0,0.548679,0.865102,2
n10,13,21,55,"0, 1, 1, 1, 1, 1, 3, 1, 2, 3, 2, 1, 4",4,1.6153846153846154,5,0.7051282051282052,n10o0.5-5.rcp,MULTIFLOW,5.0,1,8.0,8.0,0.0,0.060222,0.0,2
n10,13,22,55,"0, 1, 1, 1, 1, 3, 2, 1, 3, 2, 1, 2, 4",4,1.6923076923076923,6,0.7051282051282052,n10o0.5-6.rcp,FEASIBILITY,4.0,0,5.0,5.0,0.0,0.212221,0.29009,2
n10,13,22,55,"0, 1, 1, 1, 1, 3, 2, 1, 3, 2, 1, 2, 4",4,1.6923076923076923,6,0.7051282051282052,n10o0.5-6.rcp,MULTIFLOW,4.0,1,9.0,9.0,0.0,0.060812,0.0,2
n10,13,22,55,"0, 1, 1, 1, 1, 1, 1, 1, 4, 3, 2, 2, 4",4,1.6923076923076923,5,0.7051282051282052,n10o0.5-7.rcp,FEASIBILITY,4.0,0,5.0,5.0,0.0,0.239196,0.333769,2
n10,13,22,55,"0, 1, 1, 1, 1, 1, 1, 1, 4, 3, 2, 2, 4",4,1.6923076923076923,5,0.7051282051282052,n10o0.5-7.rcp,MULTIFLOW,4.0,1,9.0,9.0,0.0,0.042457,0.0,2
n10,13,24,55,"0, 1, 1, 1, 1, 1, 1, 3, 1, 4, 3, 4, 3",4,1.8461538461538463,5,0.7051282051282052,n10o0.5-8.rcp,FEASIBILITY,5.0,0,6.0,6.0,0.0,0.599421,0.889114,2
n10,13,24,55,"0, 1, 1, 1, 1, 1, 1, 3, 1, 4, 3, 4, 3",4,1.8461538461538463,5,0.7051282051282052,n10o0.5-8.rcp,MULTIFLOW,5.0,1,8.0,8.0,0.0,0.070728,0.0,2
n10,13,23,55,"0, 1, 1, 1, 1, 2, 1, 1, 2, 4, 4, 2, 3",4,1.7692307692307692,6,0.7051282051282052,n10o0.5-9.rcp,FEASIBILITY,4.0,0,5.0,5.0,0.0,0.237152,0.316871,2
n10,13,23,55,"0, 1, 1, 1, 1, 2, 1, 1, 2, 4, 4, 2, 3",4,1.7692307692307692,6,0.7051282051282052,n10o0.5-9.rcp,MULTIFLOW,4.0,1,9.0,9.0,0.0,0.049617,0.0,2
n10,13,17,64,"0, 1, 1, 1, 1, 2, 1, 1, 1, 2, 1, 4, 1",4,1.3076923076923077,3,0.8205128205128205,n10o0.7-1.rcp,FEASIBILITY,3.0,0,4.0,4.0,0.0,0.09498,0.09498,2
