instance,algorithm,num_nodes,num_edges,num_closed_edges,closed_edge_density,nodes_indegree_gt_one,max_in_degree,mean_in_degree,num_jumps,runtime,primal_bound,dual_bound,num_explored_nodes,status
br17.10.sop.ajn.txt,FEASIBILITY,17,17,31,0.22794117647058823,1,2,1.0,1.0,0.044413,2.0,2.0,0.0,2.0
br17.10.sop.ajn.txt,MULTIFLOW,17,17,31,0.22794117647058823,1,2,1.0,1.0,0.231351,16.0,16.0,1.0,2.0
br17.12.sop.ajn.txt,FEASIBILITY,17,18,38,0.27941176470588236,2,2,1.0588235294117647,2.0,0.24029,3.0,3.0,0.0,2.0
br17.12.sop.ajn.txt,MULTIFLOW,17,18,38,0.27941176470588236,2,2,1.0588235294117647,2.0,0.25927,15.0,15.0,1.0,2.0
esc07.sop.ajn.txt,FEASIBILITY,8,9,14,0.5,1,3,1.125,2.0,0.039843,3.0,3.0,0.0,2.0
esc07.sop.ajn.txt,MULTIFLOW,8,9,14,0.5,1,3,1.125,2.0,0.038919,6.0,6.0,1.0,2.0
esc11.sop.ajn.txt,FEASIBILITY,12,11,16,0.24242424242424243,0,1,0.9166666666666666,0.0,0.012808,1.0,1.0,0.0,2.0
esc11.sop.ajn.txt,MULTIFLOW,12,11,16,0.24242424242424243,0,1,0.9166666666666666,0.0,0.060455,12.0,12.0,0.0,2.0
esc12.sop.ajn.txt,FEASIBILITY,13,17,23,0.2948717948717949,2,4,1.3076923076923077,5.0,6.247173,6.0,6.0,1.0,2.0
esc12.sop.ajn.txt,MULTIFLOW,13,17,23,0.2948717948717949,2,4,1.3076923076923077,5.0,0.112339,8.0,8.0,1.0,2.0
esc25.sop.ajn.txt,FEASIBILITY,26,26,36,0.11076923076923077,1,2,1.0,1.0,0.059287,2.0,2.0,0.0,2.0
esc25.sop.ajn.txt,MULTIFLOW,26,26,36,0.11076923076923077,1,2,1.0,1.0,0.891184,25.0,25.0,1.0,2.0
esc47.sop.ajn.txt,FEASIBILITY,48,48,79,0.0700354609929078,1,2,1.0,1.0,0.188802,2.0,2.0,0.0,2.0
esc47.sop.ajn.txt,MULTIFLOW,48,48,79,0.0700354609929078,1,2,1.0,1.0,7.112816,47.0,47.0,1.0,2.0
esc63.sop.ajn.txt,FEASIBILITY,64,148,296,0.14682539682539683,10,10,2.3125,NaN,18000.0,NaN,NaN,NaN,-1.0
esc63.sop.ajn.txt,MULTIFLOW,64,148,296,0.14682539682539683,10,10,2.3125,35.0,18001.887824,29.0,31.0,2.0,9.0
esc78.sop.ajn.txt,FEASIBILITY,79,78,361,0.11716975008114248,0,1,0.9873417721518988,0.0,0.028661,1.0,1.0,0.0,2.0
esc78.sop.ajn.txt,MULTIFLOW,79,78,361,0.11716975008114248,0,1,0.9873417721518988,0.0,18.633628,79.0,79.0,1.0,2.0
ft53.1.sop.ajn.txt,FEASIBILITY,53,54,64,0.04644412191582003,2,2,1.0188679245283019,2.0,3.764714,3.0,3.0,1.0,2.0
ft53.1.sop.ajn.txt,MULTIFLOW,53,54,64,0.04644412191582003,2,2,1.0188679245283019,2.0,5.478083,51.0,51.0,1.0,2.0
ft53.2.sop.ajn.txt,FEASIBILITY,53,57,82,0.059506531204644414,5,2,1.0754716981132075,5.0,186.799954,6.0,6.0,1.0,2.0
ft53.2.sop.ajn.txt,MULTIFLOW,53,57,82,0.059506531204644414,5,2,1.0754716981132075,5.0,24.665078,48.0,48.0,1.0,2.0
ft53.3.sop.ajn.txt,FEASIBILITY,53,69,269,0.19521044992743106,12,5,1.3018867924528301,NaN,18000.0,NaN,NaN,NaN,-1.0
ft53.3.sop.ajn.txt,MULTIFLOW,53,69,269,0.19521044992743106,12,5,1.3018867924528301,12.0,18000.783345,41.0,43.0,10362.0,9.0
ft53.4.sop.ajn.txt,FEASIBILITY,53,74,811,0.5885341074020319,18,4,1.3962264150943395,NaN,18000.0,NaN,NaN,NaN,-1.0
ft53.4.sop.ajn.txt,MULTIFLOW,53,74,811,0.5885341074020319,18,4,1.3962264150943395,11.0,347.265667,42.0,42.0,1.0,2.0
ft70.1.sop.ajn.txt,FEASIBILITY,70,72,86,0.03561076604554866,3,2,1.0285714285714285,3.0,28.963603,4.0,4.0,1.0,2.0
ft70.1.sop.ajn.txt,MULTIFLOW,70,72,86,0.03561076604554866,3,2,1.0285714285714285,3.0,25.14431,67.0,67.0,1.0,2.0
ft70.2.sop.ajn.txt,FEASIBILITY,70,79,117,0.0484472049689441,8,3,1.1285714285714286,NaN,18000.0,NaN,NaN,NaN,-1.0
ft70.2.sop.ajn.txt,MULTIFLOW,70,79,117,0.0484472049689441,8,3,1.1285714285714286,10.0,669.212362,60.0,60.0,10141.0,2.0
kro124p.1.sop.ajn.txt,FEASIBILITY,100,102,132,0.02666666666666667,3,2,1.02,3.0,87.806424,4.0,4.0,1.0,2.0
kro124p.1.sop.ajn.txt,MULTIFLOW,100,102,132,0.02666666666666667,3,2,1.02,3.0,58.468249,97.0,97.0,1.0,2.0
kro124p.2.sop.ajn.txt,FEASIBILITY,100,112,167,0.03373737373737374,10,4,1.12,NaN,18000.0,NaN,NaN,NaN,-1.0
kro124p.2.sop.ajn.txt,MULTIFLOW,100,112,167,0.03373737373737374,10,4,1.12,12.0,18006.46834,88.0,91.0,130.0,9.0
p43.1.sop.ajn.txt,FEASIBILITY,43,45,53,0.058693244739756366,3,2,1.0465116279069768,3.0,8.913684,4.0,4.0,1.0,2.0
p43.1.sop.ajn.txt,MULTIFLOW,43,45,53,0.058693244739756366,3,2,1.0465116279069768,3.0,3.76372,40.0,40.0,1.0,2.0
p43.2.sop.ajn.txt,FEASIBILITY,43,45,76,0.08416389811738649,3,2,1.0465116279069768,3.0,11.742117,4.0,4.0,1.0,2.0
p43.2.sop.ajn.txt,MULTIFLOW,43,45,76,0.08416389811738649,3,2,1.0465116279069768,3.0,6.44253,40.0,40.0,1.0,2.0
p43.3.sop.ajn.txt,FEASIBILITY,43,53,138,0.15282392026578073,8,4,1.2325581395348837,NaN,18000.0,NaN,NaN,NaN,-1.0
p43.3.sop.ajn.txt,MULTIFLOW,43,53,138,0.15282392026578073,8,4,1.2325581395348837,8.0,2558.620679,35.0,35.0,21672.0,2.0
p43.4.sop.ajn.txt,FEASIBILITY,43,58,538,0.5957918050941307,11,4,1.3488372093023255,NaN,18000.0,NaN,NaN,NaN,-1.0
p43.4.sop.ajn.txt,MULTIFLOW,43,58,538,0.5957918050941307,11,4,1.3488372093023255,9.0,58.438583,34.0,34.0,1.0,2.0
prob.100.sop.ajn.txt,FEASIBILITY,99,98,139,0.02865388579674294,0,1,0.98989898989899,0.0,0.060904,1.0,1.0,0.0,2.0
prob.100.sop.ajn.txt,MULTIFLOW,99,98,139,0.02865388579674294,0,1,0.98989898989899,0.0,37.760969,99.0,99.0,0.0,2.0
prob.42.sop.ajn.txt,FEASIBILITY,41,41,59,0.07195121951219512,1,2,1.0,1.0,0.067906,2.0,2.0,0.0,2.0
prob.42.sop.ajn.txt,MULTIFLOW,41,41,59,0.07195121951219512,1,2,1.0,1.0,2.300233,40.0,40.0,1.0,2.0
rbg048a.sop.ajn.txt,FEASIBILITY,49,196,495,0.42091836734693877,14,18,4.0,NaN,18000.0,NaN,NaN,NaN,-1.0
rbg048a.sop.ajn.txt,MULTIFLOW,49,196,495,0.42091836734693877,14,18,4.0,31.0,18000.565366,18.0,20.0,4119.0,9.0
rbg109a.sop.ajn.txt,FEASIBILITY,110,628,5438,0.9070892410341952,93,11,5.709090909090909,NaN,18000.0,NaN,NaN,NaN,-1.0
rbg109a.sop.ajn.txt,MULTIFLOW,110,628,5438,0.9070892410341952,93,11,5.709090909090909,73.0,18003.365332,37.0,40.0,1340.0,9.0
ry48p.1.sop.ajn.txt,FEASIBILITY,48,48,59,0.05230496453900709,1,2,1.0,1.0,0.232896,2.0,2.0,0.0,2.0
ry48p.1.sop.ajn.txt,MULTIFLOW,48,48,59,0.05230496453900709,1,2,1.0,1.0,3.99261,47.0,47.0,1.0,2.0
ry48p.2.sop.ajn.txt,FEASIBILITY,48,51,73,0.06471631205673758,4,2,1.0625,4.0,36.971094,5.0,5.0,1.0,2.0
ry48p.2.sop.ajn.txt,MULTIFLOW,48,51,73,0.06471631205673758,4,2,1.0625,4.0,10.967427,44.0,44.0,1.0,2.0
ry48p.3.sop.ajn.txt,FEASIBILITY,48,61,179,0.15868794326241134,9,5,1.2708333333333333,NaN,18000.0,NaN,NaN,NaN,-1.0
ry48p.3.sop.ajn.txt,MULTIFLOW,48,61,179,0.15868794326241134,9,5,1.2708333333333333,11.0,16527.445349,37.0,37.0,226920.0,2.0
