n20o0.52.rcp;MULTIFLOW;10.000000;2168;13.000000;13.000000;0.000000;50.970082;0.000000;2
n20o0.53.rcp;MULTIFLOW;8.000000;1;15.000000;15.000000;0.000000;3.096172;0.000000;2
n20o0.54.rcp;MULTIFLOW;8.000000;1;15.000000;15.000000;0.000000;2.669242;0.000000;2
n20o0.55.rcp;MULTIFLOW;8.000000;1;15.000000;15.000000;0.000000;1.474176;0.000000;2
n20o0.56.rcp;MULTIFLOW;9.000000;272;14.000000;14.000000;0.000000;6.687968;0.000000;2
n20o0.57.rcp;MULTIFLOW;7.000000;1;16.000000;16.000000;0.000000;2.655690;0.000000;2
n20o0.58.rcp;MULTIFLOW;8.000000;237;15.000000;15.000000;0.000000;9.128976;0.000000;2
n20o0.59.rcp;MULTIFLOW;10.000000;29072;13.000000;13.000000;0.000000;132.921921;0.000000;2
n20o0.7-10.rcp;MULTIFLOW;9.000000;1;14.000000;14.000000;0.000000;0.406710;0.000000;2
n20o0.7-1.rcp;MULTIFLOW;9.000000;1;14.000000;14.000000;0.000000;1.227156;0.000000;2
n20o0.7-2.rcp;MULTIFLOW;9.000000;1;14.000000;14.000000;0.000000;0.817584;0.000000;2
n20o0.7-3.rcp;MULTIFLOW;8.000000;1;15.000000;15.000000;0.000000;0.544623;0.000000;2
n20o0.7-4.rcp;MULTIFLOW;9.000000;1;14.000000;14.000000;0.000000;0.928609;0.000000;2
n20o0.7-5.rcp;MULTIFLOW;9.000000;1;14.000000;14.000000;0.000000;1.260415;0.000000;2
n20o0.7-6.rcp;MULTIFLOW;9.000000;1;14.000000;14.000000;0.000000;0.477574;0.000000;2
n20o0.7-7.rcp;MULTIFLOW;8.000000;1;15.000000;15.000000;0.000000;0.912898;0.000000;2
n20o0.7-8.rcp;MULTIFLOW;8.000000;1;15.000000;15.000000;0.000000;0.399218;0.000000;2
n20o0.7-9.rcp;MULTIFLOW;10.000000;211;13.000000;13.000000;0.000000;5.349310;0.000000;2
n20o0.8-10.rcp;MULTIFLOW;7.000000;1;16.000000;16.000000;0.000000;0.302755;0.000000;2
n20o0.8-1.rcp;MULTIFLOW;7.000000;1;16.000000;16.000000;0.000000;0.197638;0.000000;2
n20o0.8-2.rcp;MULTIFLOW;8.000000;1;15.000000;15.000000;0.000000;0.239785;0.000000;2
