instance,algorithm,num_jumps,num_explored_nodes,primal_bound,dual_bound,cuts_added_by_solver,status,mean_in_degree,nodes_indegree_gt_one,closed_edge_density,num_edges,num_closed_edges,group_id,algorithm_right,max_in_degree,num_nodes,instance_type,runtime
n50os0.2-7.rcp,SMART_HEURISTIC,29.0,0,0.0,0.0,0.0,,3.9622641509433962,32,0.2888243831640058,210,398,n50,FEASIBILITY,18,53,generated,0.177131
n30s0.8-3.rcp,FEASIBILITY,10.0,37,11.0,11.0,0.0,2,2.1818181818181817,23,0.8352272727272727,72,441,n30,FEASIBILITY,5,33,generated,438.084254
n20o0.8-6.rcp,SMART_HEURISTIC,7.0,0,0.0,0.0,0.0,,1.826086956521739,15,0.849802371541502,42,215,n20,FEASIBILITY,4,23,generated,0.009598
n70os0.2-10.rcp,SMART_HEURISTIC,44.0,0,0.0,0.0,0.0,,5.068493150684931,37,0.2648401826484018,370,696,n70,FEASIBILITY,20,73,generated,0.426406
n20o0.5-8.rcp,FEASIBILITY,8.0,7965,9.0,9.0,0.0,2,2.5217391304347827,13,0.6245059288537549,58,158,n20,FEASIBILITY,7,23,generated,221.507866
n60os0.5-5.rcp,SMART_HEURISTIC,35.0,0,0.0,0.0,0.0,,5.190476190476191,45,0.5468509984639017,327,1068,n60,FEASIBILITY,14,63,generated,0.291525
n20o0.2-10.rcp,SMART_HEURISTIC,10.0,0,0.0,0.0,0.0,,1.9565217391304348,7,0.39920948616600793,45,101,n20,FEASIBILITY,7,23,generated,0.017172
n10o0.95-2.rcp,FEASIBILITY,3.0,0,4.0,4.0,0.0,2,1.2307692307692308,4,0.9615384615384616,16,75,n10,FEASIBILITY,2,13,generated,0.123212
n20o0.5-1.rcp,SMART_HEURISTIC,11.0,0,0.0,0.0,0.0,,2.217391304347826,14,0.6245059288537549,51,158,n20,FEASIBILITY,5,23,generated,0.013207
n60os0.8-10.rcp,SMART_HEURISTIC,26.0,0,0.0,0.0,0.0,,3.0476190476190474,51,0.8187403993855606,192,1599,n60,FEASIBILITY,6,63,generated,0.22158
n10o0.7-10.rcp,SMART_HEURISTIC,4.0,0,0.0,0.0,0.0,,1.7692307692307692,6,0.8205128205128205,23,64,n10,FEASIBILITY,3,13,generated,0.00324
n50os0.7-10.rcp,SMART_HEURISTIC,23.0,0,0.0,0.0,0.0,,3.1320754716981134,41,0.7329462989840348,166,1010,n50,FEASIBILITY,7,53,generated,0.127972
n10o0.2-7.rcp,FEASIBILITY,5.0,1,6.0,6.0,0.0,2,1.6923076923076923,3,0.5384615384615384,22,42,n10,FEASIBILITY,6,13,generated,1.087327
n30s0.5-4.rcp,SMART_HEURISTIC,13.0,0,0.0,0.0,0.0,,3.1515151515151514,22,0.5871212121212122,104,310,n30,FEASIBILITY,7,33,generated,0.032335
n20o0.5-5.rcp,FEASIBILITY,8.0,3824,9.0,9.0,0.0,2,2.217391304347826,12,0.6245059288537549,51,158,n20,FEASIBILITY,6,23,generated,232.108607
n30os0.9-4.rcp,FEASIBILITY,9.0,1,10.0,10.0,0.0,2,1.7878787878787878,21,0.9166666666666666,59,484,n30,FEASIBILITY,3,33,generated,173.895882
n20o0.9-4.rcp,SMART_HEURISTIC,8.0,0,0.0,0.0,0.0,,1.5217391304347827,9,0.924901185770751,35,234,n20,FEASIBILITY,3,23,generated,0.009877
rbg323a.sop.ajn.txt,SMART_HEURISTIC,236.0,0,0.0,0.0,0.0,,7.453703703703703,303,0.9273592477926843,2415,48525,sop,FEASIBILITY,30,324,sop,284.302617
n60os0.95-7.rcp,SMART_HEURISTIC,20.0,0,0.0,0.0,0.0,,1.9047619047619047,41,0.9544290834613415,120,1864,n60,FEASIBILITY,4,63,generated,0.14058
