mean_in_degree,nodes_indegree_gt_one,instance,closed_edge_density,num_edges,num_closed_edges,group_id,algorithm,max_in_degree,num_nodes,num_jumps,num_explored_nodes,primal_bound,dual_bound,cuts_added_by_solver,solve_time,sum_time,status,runtime
1.6923076923076923,6,n10o0.5-6.rcp,0.7051282051282052,22,55,n10,FEASIBILITY,4,13,4.0,0,5.0,5.0,0.0,0.212221,0.29009,2,0.29009
1.6923076923076923,6,n10o0.5-6.rcp,0.7051282051282052,22,55,n10,MULTIFLOW,4,13,4.0,1,9.0,9.0,0.0,0.060812,0.0,2,0.060812
1.6923076923076923,5,n10o0.5-7.rcp,0.7051282051282052,22,55,n10,FEASIBILITY,4,13,4.0,0,5.0,5.0,0.0,0.239196,0.333769,2,0.333769
1.6923076923076923,5,n10o0.5-7.rcp,0.7051282051282052,22,55,n10,MULTIFLOW,4,13,4.0,1,9.0,9.0,0.0,0.042457,0.0,2,0.042457
1.8461538461538463,5,n10o0.5-8.rcp,0.7051282051282052,24,55,n10,FEASIBILITY,4,13,5.0,0,6.0,6.0,0.0,0.599421,0.889114,2,0.889114
1.8461538461538463,5,n10o0.5-8.rcp,0.7051282051282052,24,55,n10,MULTIFLOW,4,13,5.0,1,8.0,8.0,0.0,0.070728,0.0,2,0.070728
1.7692307692307692,6,n10o0.5-9.rcp,0.7051282051282052,23,55,n10,FEASIBILITY,4,13,4.0,0,5.0,5.0,0.0,0.237152,0.316871,2,0.316871
1.7692307692307692,6,n10o0.5-9.rcp,0.7051282051282052,23,55,n10,MULTIFLOW,4,13,4.0,1,9.0,9.0,0.0,0.049617,0.0,2,0.049617
1.3076923076923077,3,n10o0.7-1.rcp,0.8205128205128205,17,64,n10,FEASIBILITY,4,13,3.0,0,4.0,4.0,0.0,0.09498,0.09498,2,0.09498
1.3076923076923077,3,n10o0.7-1.rcp,0.8205128205128205,17,64,n10,MULTIFLOW,4,13,3.0,1,10.0,10.0,0.0,0.036312,0.0,2,0.036312
1.7692307692307692,6,n10o0.7-10.rcp,0.8205128205128205,23,64,n10,FEASIBILITY,3,13,4.0,0,5.0,5.0,0.0,0.192168,0.305734,2,0.305734
1.7692307692307692,6,n10o0.7-10.rcp,0.8205128205128205,23,64,n10,MULTIFLOW,3,13,4.0,1,9.0,9.0,0.0,0.030235,0.0,2,0.030235
1.3076923076923077,4,n10o0.7-2.rcp,0.8205128205128205,17,64,n10,FEASIBILITY,3,13,2.0,0,3.0,3.0,0.0,0.041341,0.041341,2,0.041341
1.3076923076923077,4,n10o0.7-2.rcp,0.8205128205128205,17,64,n10,MULTIFLOW,3,13,2.0,1,11.0,11.0,0.0,0.027724,0.0,2,0.027724
1.4615384615384615,6,n10o0.7-3.rcp,0.8205128205128205,19,64,n10,FEASIBILITY,3,13,3.0,0,4.0,4.0,0.0,0.100524,0.141417,2,0.141417
1.4615384615384615,6,n10o0.7-3.rcp,0.8205128205128205,19,64,n10,MULTIFLOW,3,13,3.0,1,10.0,10.0,0.0,0.035701,0.0,2,0.035701
1.4615384615384615,7,n10o0.7-4.rcp,0.8205128205128205,19,64,n10,FEASIBILITY,2,13,3.0,0,4.0,4.0,0.0,0.078274,0.127561,2,0.127561
1.4615384615384615,7,n10o0.7-4.rcp,0.8205128205128205,19,64,n10,MULTIFLOW,2,13,3.0,1,10.0,10.0,0.0,0.035924,0.0,2,0.035924
1.6153846153846154,6,n10o0.7-5.rcp,0.8205128205128205,21,64,n10,FEASIBILITY,3,13,3.0,0,4.0,4.0,0.0,0.073428,0.114319,2,0.114319
1.6153846153846154,6,n10o0.7-5.rcp,0.8205128205128205,21,64,n10,MULTIFLOW,3,13,3.0,1,10.0,10.0,0.0,0.031221,0.0,2,0.031221
1.3076923076923077,4,n10o0.7-6.rcp,0.8205128205128205,17,64,n10,FEASIBILITY,3,13,3.0,0,4.0,4.0,0.0,0.09076,0.130545,2,0.130545
1.3076923076923077,4,n10o0.7-6.rcp,0.8205128205128205,17,64,n10,MULTIFLOW,3,13,3.0,1,10.0,10.0,0.0,0.034895,0.0,2,0.034895
1.4615384615384615,3,n10o0.7-7.rcp,0.8205128205128205,19,64,n10,FEASIBILITY,4,13,5.0,0,6.0,6.0,0.0,0.458041,0.719603,2,0.719603
1.4615384615384615,3,n10o0.7-7.rcp,0.8205128205128205,19,64,n10,MULTIFLOW,4,13,5.0,1,8.0,8.0,0.0,0.024955,0.0,2,0.024955
1.3846153846153846,5,n10o0.7-8.rcp,0.8205128205128205,18,64,n10,FEASIBILITY,3,13,3.0,0,4.0,4.0,0.0,0.088059,0.128368,2,0.128368
1.3846153846153846,5,n10o0.7-8.rcp,0.8205128205128205,18,64,n10,MULTIFLOW,3,13,3.0,1,10.0,10.0,0.0,0.032391,0.0,2,0.032391
1.6153846153846154,7,n10o0.7-9.rcp,0.8205128205128205,21,64,n10,FEASIBILITY,3,13,4.0,0,5.0,5.0,0.0,0.198874,0.314645,2,0.314645
1.6153846153846154,7,n10o0.7-9.rcp,0.8205128205128205,21,64,n10,MULTIFLOW,3,13,4.0,1,9.0,9.0,0.0,0.034058,0.0,2,0.034058
1.3076923076923077,5,n10o0.8-1.rcp,0.8846153846153846,17,69,n10,FEASIBILITY,2,13,3.0,0,4.0,4.0,0.0,0.074597,0.12315,2,0.12315
1.3076923076923077,5,n10o0.8-1.rcp,0.8846153846153846,17,69,n10,MULTIFLOW,2,13,3.0,1,10.0,10.0,0.0,0.027074,0.0,2,0.027074
1.3846153846153846,4,n10o0.8-10.rcp,0.8846153846153846,18,69,n10,FEASIBILITY,3,13,4.0,0,5.0,5.0,0.0,0.174815,0.288029,2,0.288029
1.3846153846153846,4,n10o0.8-10.rcp,0.8846153846153846,18,69,n10,MULTIFLOW,3,13,4.0,1,9.0,9.0,0.0,0.025363,0.0,2,0.025363
1.3076923076923077,5,n10o0.8-2.rcp,0.8846153846153846,17,69,n10,FEASIBILITY,2,13,2.0,0,3.0,3.0,0.0,0.039003,0.049593,2,0.049593
1.3076923076923077,5,n10o0.8-2.rcp,0.8846153846153846,17,69,n10,MULTIFLOW,2,13,2.0,1,11.0,11.0,0.0,0.025323,0.0,2,0.025323
1.3076923076923077,5,n10o0.8-3.rcp,0.8846153846153846,17,69,n10,FEASIBILITY,2,13,3.0,0,4.0,4.0,0.0,0.081187,0.129394,2,0.129394
1.3076923076923077,5,n10o0.8-3.rcp,0.8846153846153846,17,69,n10,MULTIFLOW,2,13,3.0,1,10.0,10.0,0.0,0.027075,0.0,2,0.027075
1.3076923076923077,4,n10o0.8-4.rcp,0.8846153846153846,17,69,n10,FEASIBILITY,3,13,3.0,0,4.0,4.0,0.0,0.07296,0.112568,2,0.112568
1.3076923076923077,4,n10o0.8-4.rcp,0.8846153846153846,17,69,n10,MULTIFLOW,3,13,3.0,1,10.0,10.0,0.0,0.02957,0.0,2,0.02957
1.3846153846153846,6,n10o0.8-5.rcp,0.8846153846153846,18,69,n10,FEASIBILITY,2,13,3.0,0,4.0,4.0,0.0,0.086251,0.135397,2,0.135397
1.3846153846153846,6,n10o0.8-5.rcp,0.8846153846153846,18,69,n10,MULTIFLOW,2,13,3.0,1,10.0,10.0,0.0,0.026612,0.0,2,0.026612
1.5384615384615385,7,n10o0.8-6.rcp,0.8846153846153846,20,69,n10,FEASIBILITY,3,13,4.0,0,5.0,5.0,0.0,0.16917,0.281654,2,0.281654
1.5384615384615385,7,n10o0.8-6.rcp,0.8846153846153846,20,69,n10,MULTIFLOW,3,13,4.0,1,9.0,9.0,0.0,0.028381,0.0,2,0.028381
1.2307692307692308,4,n10o0.8-7.rcp,0.8846153846153846,16,69,n10,FEASIBILITY,2,13,3.0,0,4.0,4.0,0.0,0.089278,0.137807,2,0.137807
1.2307692307692308,4,n10o0.8-7.rcp,0.8846153846153846,16,69,n10,MULTIFLOW,2,13,3.0,1,10.0,10.0,0.0,0.023992,0.0,2,0.023992
1.3076923076923077,4,n10o0.8-8.rcp,0.8846153846153846,17,69,n10,FEASIBILITY,3,13,3.0,0,4.0,4.0,0.0,0.081066,0.120663,2,0.120663
1.3076923076923077,4,n10o0.8-8.rcp,0.8846153846153846,17,69,n10,MULTIFLOW,3,13,3.0,1,10.0,10.0,0.0,0.023653,0.0,2,0.023653
1.5384615384615385,8,n10o0.8-9.rcp,0.8846153846153846,20,69,n10,FEASIBILITY,2,13,4.0,0,5.0,5.0,0.0,0.181555,0.301278,2,0.301278
1.5384615384615385,8,n10o0.8-9.rcp,0.8846153846153846,20,69,n10,MULTIFLOW,2,13,4.0,1,9.0,9.0,0.0,0.029513,0.0,2,0.029513
1.3076923076923077,5,n10o0.95-1.rcp,0.9615384615384616,17,75,n10,FEASIBILITY,2,13,3.0,0,4.0,4.0,0.0,0.075372,0.123664,2,0.123664
1.3076923076923077,5,n10o0.95-1.rcp,0.9615384615384616,17,75,n10,MULTIFLOW,2,13,3.0,0,10.0,10.0,0.0,0.015508,0.0,2,0.015508
1.2307692307692308,4,n10o0.95-2.rcp,0.9615384615384616,16,75,n10,FEASIBILITY,2,13,3.0,0,4.0,4.0,0.0,0.075421,0.123212,2,0.123212
1.2307692307692308,4,n10o0.95-2.rcp,0.9615384615384616,16,75,n10,MULTIFLOW,2,13,3.0,0,10.0,10.0,0.0,0.01532,0.0,2,0.01532
1.0769230769230769,2,n10o0.95-3.rcp,0.9615384615384616,14,75,n10,FEASIBILITY,2,13,2.0,0,3.0,3.0,0.0,0.039503,0.050149,2,0.050149
1.0769230769230769,2,n10o0.95-3.rcp,0.9615384615384616,14,75,n10,MULTIFLOW,2,13,2.0,0,11.0,11.0,0.0,0.014594,0.0,2,0.014594
